URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/body-site,4.0.1,draft,"2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/bumblebee-follow-up,StructureDefinition/bumblebee-vital-signs,StructureDefinition/bumblebee-muac,StructureDefinition/bumblebee-pain-score,StructureDefinition/bumblebee-referral,StructureDefinition/bumblebee-procedure,StructureDefinition/bumblebee-triage-assessment,StructureDefinition/bumblebee-allergy-asked,StructureDefinition/bumblebee-pregnancy-status,StructureDefinition/bumblebee-fluid-balance,StructureDefinition/bumblebee-problem,StructureDefinition/bumblebee-tbsa","SCT"
http://hl7.org/fhir/ValueSet/clinical-findings,4.0.1,draft,"2.16.840.1.113883.4.642.3.232",SNOMEDCTClinicalFindings,SNOMED CT Clinical Findings,"This value set includes all the ""Clinical finding"" [SNOMED CT](http://snomed.info/sct) codes - concepts where concept is-a 404684003 (Clinical finding (finding)).","StructureDefinition/bumblebee-return-advice,StructureDefinition/bumblebee-allergy","SCT"
http://hl7.org/fhir/ValueSet/communication-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.172",CommunicationCategory,CommunicationCategory,"Codes for general categories of communications such as alerts, instructions, etc.","StructureDefinition/bumblebee-return-advice","THO"
http://hl7.org/fhir/ValueSet/communication-not-done-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.174",CommunicationNotDoneReason,CommunicationNotDoneReason,"Codes for the reason why a communication did not happen.","StructureDefinition/bumblebee-return-advice","THO"
http://hl7.org/fhir/ValueSet/communication-topic,4.0.1,draft,"2.16.840.1.113883.4.642.3.983",CommunicationTopic,CommunicationTopic,"Codes describing the purpose or content of the communication.","StructureDefinition/bumblebee-return-advice","THO"
http://hl7.org/fhir/ValueSet/composition-attestation-mode,4.0.1,draft,"2.16.840.1.113883.4.642.3.238",CompositionAttestationMode,CompositionAttestationMode,"The way in which a person authenticated a composition.","StructureDefinition/bumblebee-patient-summary,StructureDefinition/bumblebee-transfer-document","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/composition-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.241",CompositionStatus,CompositionStatus,"The workflow/clinical status of the composition.","StructureDefinition/bumblebee-patient-summary,StructureDefinition/bumblebee-transfer-document","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/condition-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.162",ConditionCategoryCodes,Condition Category Codes,"Preferred value set for Condition Categories.","StructureDefinition/bumblebee-diagnosis,StructureDefinition/bumblebee-notifiable-disease,StructureDefinition/bumblebee-problem","THO"
http://hl7.org/fhir/ValueSet/condition-clinical,4.0.1,draft,"2.16.840.1.113883.4.642.3.164",ConditionClinicalStatusCodes,Condition Clinical Status Codes,"Preferred value set for Condition Clinical Status.","StructureDefinition/bumblebee-diagnosis,StructureDefinition/bumblebee-notifiable-disease,StructureDefinition/bumblebee-problem","THO"
http://hl7.org/fhir/ValueSet/condition-code,4.0.1,draft,"2.16.840.1.113883.4.642.3.161",Condition/Problem/DiagnosisCodes,Condition/Problem/Diagnosis Codes,"Example value set for Condition/Problem/Diagnosis codes.","StructureDefinition/bumblebee-diagnosis,StructureDefinition/bumblebee-notifiable-disease,StructureDefinition/bumblebee-procedure,StructureDefinition/bumblebee-medication-taken,StructureDefinition/bumblebee-problem","SCT"
