URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir-fli.dev/bumblebee/CodeSystem/body-region-cs,0.1.0,draft,,BodyRegionCS,Body region,"Where on the body something is. This exists so a clinician can TAP A DIAGRAM instead of typing - required for documenting unexplained injuries in children, and used the same way by the one field-hospital system with a published evaluation. Every code is somewhere a person can point at.",
http://fhir-fli.dev/bumblebee/CodeSystem/disaster-relation-cs,0.1.0,draft,,DisasterRelationCS,Relation to the disaster,"",
http://fhir-fli.dev/bumblebee/CodeSystem/treatment-level-cs,0.1.0,draft,,TreatmentLevelCS,Treatment level required,"",
