URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/languages,4.3.0,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/botswana-amr-special-test-observation,StructureDefinition/botswana-amr-patient,StructureDefinition/botswana-amr-susceptibility-observation,StructureDefinition/botswana-amr-organism-observation,StructureDefinition/botswana-amr-specimen,StructureDefinition/botswana-amr-diagnostic-report,StructureDefinition/botswana-amr-gram-stain-observation","hl7.terminology.r4"
http://hl7.org/fhir/ValueSet/link-type,4.3.0,active,"2.16.840.1.113883.4.642.3.423",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","StructureDefinition/botswana-amr-patient","hl7.fhir.r4b.core"
http://hl7.org/fhir/ValueSet/marital-status,4.3.0,active,"2.16.840.1.113883.4.642.3.29",Marital Status Codes,MaritalStatus,"This value set defines the set of codes that can be used to indicate the marital status of a person.","StructureDefinition/botswana-amr-patient","THO (V3)"
http://hl7.org/fhir/ValueSet/observation-category,4.3.0,draft,"2.16.840.1.113883.4.642.3.403",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","StructureDefinition/botswana-amr-special-test-observation,StructureDefinition/botswana-amr-susceptibility-observation,StructureDefinition/botswana-amr-organism-observation,StructureDefinition/botswana-amr-gram-stain-observation","THO"
http://hl7.org/fhir/ValueSet/observation-codes,4.3.0,draft,"2.16.840.1.113883.4.642.3.396",LOINCCodes,LOINC Codes,"This value set includes all LOINC codes","StructureDefinition/botswana-amr-special-test-observation,StructureDefinition/botswana-amr-susceptibility-observation,StructureDefinition/botswana-amr-organism-observation,StructureDefinition/botswana-amr-gram-stain-observation","LOINC"
http://hl7.org/fhir/ValueSet/observation-interpretation,4.3.0,active,"2.16.840.1.113883.4.642.3.399",ObservationInterpretationCodes,Observation Interpretation Codes,"A categorical assessment, providing a rough qualitative interpretation of the observation value,    such as “normal”/ “abnormal”,”low” / “high”, “better” / “worse”, “susceptible” / “resistant”, “expected”/ “not expected”.    The value set is intended to be for ANY use where coded representation of an interpretation is needed.             Notes:          This is being communicated in v2.x in OBX-8 (Observation Interpretation), in v3 in ObservationInterpretation (CWE) in R1 (Representative Realm) and in FHIR in    Observation.interpretation. Historically these values come from the laboratory domain, and these codes are extensively    used. The value set binding is extensible, so codes outside the value set that are needed for interpretation concepts    (i.e. particular meanings) that are not included in the value set can be used, and these new codes may also be added to    the value set and published in a future version.","StructureDefinition/botswana-amr-special-test-observation,StructureDefinition/botswana-amr-susceptibility-observation,StructureDefinition/botswana-amr-organism-observation,StructureDefinition/botswana-amr-gram-stain-observation","THO (V3)"
http://hl7.org/fhir/ValueSet/observation-methods,4.3.0,draft,"2.16.840.1.113883.4.642.3.395",ObservationMethods,Observation Methods,"Observation Method codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 272394005 (Technique (qualifier value)) or is-a 129264002 (Action (qualifier value)) or is-a 386053000 (Evaluation procedure(procedure))","StructureDefinition/botswana-amr-special-test-observation,StructureDefinition/botswana-amr-susceptibility-observation,StructureDefinition/botswana-amr-gram-stain-observation","SCT"
http://hl7.org/fhir/ValueSet/observation-status,4.3.0,active,"2.16.840.1.113883.4.642.3.400",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","StructureDefinition/botswana-amr-special-test-observation,StructureDefinition/botswana-amr-susceptibility-observation,StructureDefinition/botswana-amr-organism-observation,StructureDefinition/botswana-amr-gram-stain-observation","hl7.fhir.r4b.core"
http://hl7.org/fhir/ValueSet/patient-contactrelationship,4.3.0,active,"2.16.840.1.113883.4.642.3.1130",PatientContactRelationship,Patient Contact Relationship,"The nature of the relationship between the patient and the contact person.","StructureDefinition/botswana-amr-patient","THO (V2)"
http://hl7.org/fhir/ValueSet/referencerange-appliesto,4.3.0,draft,"2.16.840.1.113883.4.642.3.407",ObservationReferenceRangeAppliesToCodes,Observation Reference Range Applies To Codes,"This value set defines a set of codes that can be used to indicate the particular target population the reference range applies to.","StructureDefinition/botswana-amr-special-test-observation,StructureDefinition/botswana-amr-susceptibility-observation,StructureDefinition/botswana-amr-organism-observation,StructureDefinition/botswana-amr-gram-stain-observation","SCT"
http://hl7.org/fhir/ValueSet/referencerange-meaning,4.3.0,draft,"2.16.840.1.113883.4.642.3.397",ObservationReferenceRangeMeaningCodes,Observation Reference Range Meaning Codes,"This value set defines a set of codes that can be used to indicate the meaning/use of a reference range for a particular target population.","StructureDefinition/botswana-amr-special-test-observation,StructureDefinition/botswana-amr-susceptibility-observation,StructureDefinition/botswana-amr-organism-observation,StructureDefinition/botswana-amr-gram-stain-observation","THO"
http://hl7.org/fhir/ValueSet/report-codes,4.3.0,draft,"2.16.840.1.113883.4.642.3.233",LOINCDiagnosticReportCodes,LOINC Diagnostic Report Codes,"This value set includes LOINC codes that relate to Diagnostic Observations.","StructureDefinition/botswana-amr-diagnostic-report","LOINC"
http://hl7.org/fhir/ValueSet/security-labels,4.3.0,active,"2.16.840.1.113883.4.642.3.47",All Security Labels,SecurityLabels,"A single value set for all security labels defined by FHIR.","StructureDefinition/botswana-amr-special-test-observation,StructureDefinition/botswana-amr-patient,StructureDefinition/botswana-amr-susceptibility-observation,StructureDefinition/botswana-amr-organism-observation,StructureDefinition/botswana-amr-specimen,StructureDefinition/botswana-amr-diagnostic-report,StructureDefinition/botswana-amr-gram-stain-observation",
http://hl7.org/fhir/ValueSet/specimen-collection-method,4.3.0,draft,"2.16.840.1.113883.4.642.3.468",FHIRSpecimenCollectionMethod,FHIR Specimen Collection Method," This example value set defines a set of codes that can be used to indicate the method by which a specimen was collected.","StructureDefinition/botswana-amr-specimen","SCT"
http://hl7.org/fhir/ValueSet/specimen-container-type,4.3.0,draft,"2.16.840.1.113883.4.642.3.470",SpecimenContainer,,"Containers which may hold specimens or specimen containers. Include codes  SNOMED CT(http://snomed.info/sct) where concept is-a 434711009 (Specimen container (physical object))","StructureDefinition/botswana-amr-specimen","SCT"
http://hl7.org/fhir/ValueSet/specimen-processing-procedure,4.3.0,draft,"2.16.840.1.113883.4.642.3.469",SpecimenProcessingProcedure,,"The technique that is used to perform the process or preserve the specimen.","StructureDefinition/botswana-amr-specimen","THO (V2)"
http://hl7.org/fhir/ValueSet/specimen-status,4.3.0,draft,"2.16.840.1.113883.4.642.3.471",SpecimenStatus,SpecimenStatus,"Codes providing the status/availability of a specimen.","StructureDefinition/botswana-amr-specimen","hl7.fhir.r4b.core"
http://terminology.hl7.org/ValueSet/v2-0371,2.0.0,active,"2.16.840.1.113883.21.245",Hl7VSAdditivePreservative,hl7VS-additivePreservative,"Concepts specifying any additive introduced to the specimen before or at the time of collection.  These additives may be introduced in order to preserve, maintain or enhance the particular nature or component of the specimen.  Used in Version 2 messaging in the SPM segment.","StructureDefinition/botswana-amr-specimen","THO (V2)"
http://terminology.hl7.org/ValueSet/v2-0493,2.0.0,active,"2.16.840.1.113883.21.333",Hl7VSSpecimenCondition,hl7VS-specimenCondition,"Concepts of modes or states of being that describe the nature of a specimen.  Used in Version 2 messaging in the SPM segment.","StructureDefinition/botswana-amr-specimen","THO (V2)"
http://terminology.hl7.org/ValueSet/v2-0916,2.0.0,active,"2.16.840.1.113883.21.440",Hl7VSRelevantClincialInformation,hl7VS-relevantClincialInformation,"Value Set of codes that specify additional clinical information about the patient or specimen to report the supporting and/or suspected diagnosis and clinical findings on requests for interpreted diagnostic studies.","StructureDefinition/botswana-amr-specimen","THO (V2)"
